0,549.6131,92.8586,96.9577,121.106
1,550.5773,92.6318,96.8367,120.748
2,551.5416,92.4336,96.6893,120.249
3,552.5058,92.2695,96.5203,119.592
4,553.47,92.1385,96.3387,118.797
5,554.4343,92.028,96.1509,117.91
6,555.3985,91.9119,95.9561,116.984
7,556.3627,91.7598,95.7482,116.072
8,557.327,91.5506,95.5215,115.215
9,558.2912,91.2848,95.277,114.438
10,559.2554,90.9848,95.0248,113.747
11,560.2197,90.6846,94.7803,113.131
12,561.1839,90.4152,94.558,112.565
13,562.1481,90.1932,94.3638,112.011
14,563.1124,90.0602,94.2413,111.503
15,564.0766,90.0058,94.1795,111.054
16,565.0408,90.001,94.1509,110.627
17,566.0051,90.0157,94.1279,110.187
18,566.9693,90.0324,94.0932,109.725
19,567.9335,90.0491,94.0426,109.26
20,568.8978,90.0749,93.9801,108.821
21,569.862,90.1217,93.9141,108.422
22,570.8262,90.1987,93.8544,108.061
23,571.7905,90.3091,93.8123,107.724
24,572.7547,90.4495,93.7986,107.406
25,573.7189,90.6098,93.821,107.127
26,574.6832,90.7724,93.8798,106.927
27,575.6474,90.914,93.9666,106.855
28,576.6116,91.0115,94.0663,106.94
29,577.5759,91.0512,94.1633,107.182
30,578.5401,91.0389,94.2468,107.549
31,579.5043,91.0027,94.3156,107.985
32,580.4686,90.9853,94.3776,108.425
33,581.4328,91.0266,94.4451,108.806
34,582.397,91.1468,94.5287,109.084
35,583.3613,91.3389,94.6316,109.241
36,584.3255,91.5741,94.7495,109.289
37,585.2897,91.8157,94.8732,109.272
38,586.254,92.0343,94.9947,109.257
39,587.2182,92.2181,95.1137,109.309
40,588.1824,92.3739,95.2394,109.469
41,589.1467,92.5197,95.3865,109.745
42,590.1109,92.673,95.5665,110.115
43,591.0751,92.8438,95.7797,110.545
44,592.0394,93.0325,96.0137,111.006
45,593.0036,93.2326,96.2459,111.474
46,593.9678,93.4334,96.4519,111.921
47,594.9321,93.6228,96.6125,112.313
48,595.8963,93.7887,96.7199,112.606
49,596.8605,93.9218,96.7782,112.772
50,597.8248,94.0188,96.8002,112.809
51,598.789,94.0852,96.8027,112.749
52,599.7532,94.1355,96.8016,112.642
53,600.7175,94.1895,96.8098,112.528
54,601.6817,94.2673,96.8364,112.422
55,602.6459,94.3829,96.8868,112.307
56,603.6102,94.5399,96.9626,112.149
57,604.5744,94.7309,97.0617,111.93
58,605.5386,94.9402,97.1788,111.665
59,606.5029,95.1476,97.3067,111.399
60,607.4671,95.3336,97.4368,111.188
61,608.4313,95.4834,97.5606,111.063
62,609.3956,95.5914,97.6713,111.015
63,610.3598,95.663,97.7652,111.003
64,611.324,95.7136,97.8439,110.982
65,612.2883,95.7622,97.9122,110.929
66,613.2525,95.8235,97.9764,110.852
67,614.2167,95.901,98.0397,110.775
68,615.181,95.9851,98.1008,110.711
69,616.1452,96.0569,98.1537,110.647
70,617.1094,96.097,98.1919,110.547
71,618.0737,96.0945,98.2126,110.382
72,619.0379,96.0526,98.2204,110.148
73,620.0021,95.9876,98.2264,109.883
74,620.9664,95.9229,98.245,109.64
75,621.9306,95.8798,98.2878,109.461
76,622.8948,95.8692,98.358,109.354
77,623.8591,95.888,98.4489,109.294
78,624.8233,95.9227,98.5466,109.248
79,625.7875,95.9569,98.6371,109.208
80,626.7518,95.9787,98.7138,109.195
81,627.716,95.9829,98.7795,109.252
82,628.6802,95.9694,98.8431,109.413
83,629.6445,95.9393,98.9122,109.671
84,630.6087,95.8939,98.9881,109.976
85,631.5729,95.8353,99.0643,110.257
86,632.5372,95.7671,99.1309,110.45
87,633.5014,95.6944,99.1805,110.528
88,634.4656,95.6207,99.212,110.501
89,635.4299,95.5464,99.2309,110.398
90,636.3941,95.4697,99.2454,110.252
91,637.3583,95.391,99.2637,110.086
92,638.3226,95.3169,99.2921,109.908
93,639.2868,95.2602,99.336,109.725
94,640.251,95.2348,99.4004,109.549
95,641.2153,95.2475,99.4889,109.4
96,642.1795,95.293,99.6003,109.299
97,643.1437,95.3546,99.7266,109.26
98,644.108,95.4114,99.853,109.282
99,645.0722,95.4459,99.9618,109.353
100,646.0364,95.4496,100.039,109.449
101,647.0007,95.4243,100.081,109.549
102,647.9649,95.3804,100.096,109.631
103,648.9291,95.3324,100.101,109.68
104,649.8934,95.2938,100.116,109.691
105,650.8576,95.2733,100.154,109.66
106,651.8218,95.2728,100.216,109.589
107,652.7861,95.2878,100.293,109.484
108,653.7503,95.3079,100.368,109.35
109,654.7145,95.317,100.416,109.188
110,655.6788,95.2949,100.416,108.989
111,656.643,95.2306,100.361,108.748
112,657.6072,95.139,100.272,108.488
113,658.5715,95.0514,100.187,108.253
114,659.5357,94.9904,100.13,108.071
115,660.4999,94.9605,100.103,107.943
116,661.4642,94.9532,100.094,107.851
117,662.4284,94.9542,100.088,107.772
118,663.3926,94.9514,100.068,107.684
119,664.3569,94.9393,100.028,107.568
120,665.3211,94.9209,99.9671,107.418
121,666.2853,94.9052,99.8949,107.234
122,667.2496,94.9017,99.8225,107.027
123,668.2138,94.9156,99.76,106.814
124,669.178,94.9466,99.7136,106.609
125,670.1423,94.9905,99.6852,106.421
126,671.1065,95.0426,99.6725,106.25
127,672.0707,95.0986,99.6693,106.092
128,673.035,95.1546,99.6666,105.94
129,673.9992,95.2063,99.6551,105.791
130,674.9634,95.2498,99.6285,105.647
131,675.9277,95.283,99.5854,105.514
132,676.8919,95.3076,99.5305,105.397
133,677.8561,95.3316,99.474,105.3
134,678.8204,95.3706,99.4337,105.233
135,679.7846,95.4467,99.4317,105.219
